,Naive,Default,MD5,SHA256,Jenkins
10,0.026355853087142864,0.01692375293285717,0.030614731820000185,0.029499423065714316,0.07496623688714278
50,0.026207501729999996,0.013058253057142874,0.030930017042856955,0.030296189370000094,0.0751405330014284
250,0.025273481172857156,0.013769362675714172,0.034731822555714546,0.030738834120000353,0.08195727192285729
500,0.027909903214285745,0.015827734852857052,0.03264244704285715,0.031195958009999945,0.07918481942999961
1000,0.026583117562857125,0.014779468792857041,0.035086912622857166,0.031463666629999804,0.08059273920285705
2000,0.026310937044285693,0.013514892890000121,0.031676202649999985,0.030393971798571652,0.07940460688999987
5000,0.02678133297571431,0.015516499512857048,0.030096907238571474,0.0317284347500002,0.07760629328857119
15000,0.028311251929999993,0.014557460775714293,0.029310537159999837,0.032538107235714216,0.0707797500985719
25000,0.026849555284285762,0.014845641521428499,0.029000584547142938,0.03056725789285711,0.07201712806571386
100000,0.02665572013714272,0.015010578638571376,0.028991827035714388,0.03143271291857088,0.0723770980314287
