,Naive,Default,MD5,SHA256,Jenkins,Red Black Tree
10,2.4850704285199758e-05,1.480157715767356e-05,3.226171285080324e-05,3.30968014064378e-05,5.779375284743895e-05,3.949268995451608e-05
100,0.0002339344214228,0.0001099135242839,0.0002733642585787,0.0002819347757135,0.0005858793257149,0.0006013964127383328
250,0.0005205051743022,0.0002816260571437,0.0006772687271586,0.0007018260685643,0.0015109063842828,0.0017718988785886073
500,0.0012394432199965,0.0006006043942969,0.001370329775704,0.0014016932542706,0.0030311300914243,0.0036657737586730426
1000,0.003137485467149,0.0013170883128519,0.0028493196214237,0.0029325637928663,0.0062563914214427,0.008067602601492712
2500,0.0082700472071363,0.0038881900014218,0.0078855690342814,0.0079727533585641,0.0164573563028638,0.030322019561426713
5000,0.0257202333657291,0.0097414478542902,0.0177009271857033,0.0179760930471405,0.0347445801043068,0.05603328937435955
10000,0.0955444934314437,0.0266742949285669,0.0431076516542712,0.0433499292442866,0.0768710989243014,0.11771310204286627
50000,1.4037180873442827,0.4613249185099994,0.569311803217154,0.5602768076828735,0.7287938390385638,0.7274026096028892
