,Naive,Default,MD5,SHA256,Jenkins,Red Black Tree
2,4.54921571417799e-06,3.043268571738216e-06,6.900142857050793e-06,6.868359999836165e-06,1.350784428593345e-05,6.737524284809686e-06
5,1.0819677142827849e-05,5.887368571230971e-06,1.2951330000175534e-05,1.3685075714420236e-05,2.9081332857003877e-05,2.978155857168271e-05
10,1.8756519999994583e-05,1.2681768571707964e-05,2.9980752857292307e-05,2.65831914284068e-05,5.665261714252016e-05,6.694076571550666e-05
25,5.347314999994523e-05,2.8218250000203885e-05,0.0001250231714288,6.686816000020762e-05,0.0001484048414282,0.00016777706428521404
50,9.268698999984996e-05,5.526329714289854e-05,0.00028794042,0.0002606690185715,0.0003901863114281,0.00034715094428650317
100,0.0001947160742854,0.0001138960414281,0.0005225912171428,0.0005353623828568,0.0007469789557145,0.0008141524185722509
150,0.0002996517271425,0.0014929609100002,0.0022099086628567,0.0015391423771432,0.0026172279871424,0.0013310042342865407
200,0.0004080621699998,0.0036335240842861,0.0066291178442858,0.0037177602142855,0.00546014876,0.002003160350000144
300,0.0304456540385717,0.01896076515,0.0241235832171436,0.0147911309085712,0.0185183374114288,0.0034704685457134996
