,Naive,Default,MD5,SHA256,Jenkins,Red Black Tree
10,2.5602472857956726e-05,1.3442490000150948e-05,2.6447072855912014e-05,3.5063388569532046e-05,5.8469488576520237e-05,4.534155715581229e-06
100,0.00020316585571436007,0.00011508177857259788,0.00026400001428815553,0.0002782632585720941,0.00060085824428305,3.772937570829527e-05
250,0.0005320799171425149,0.00029333099999998273,0.0006686460042861394,0.0007067645614305158,0.001571076922861851,0.00010346600714651035
500,0.001262664754285002,0.0006171952799987983,0.0013687498757151064,0.0014564326628559293,0.003815410037145089,0.00018767164571597406
1000,0.003878841002857111,0.001365438747144643,0.002857477745713238,0.003308467809998287,0.007593174418567027,0.0004133648085735331
2500,0.009881380932858,0.0041440457057134545,0.008205642685716157,0.00855830445857204,0.01879413550857602,0.00095731154142933
5000,0.03237104144714327,0.010349966482856741,0.018153591717143303,0.018884698960000605,0.038648974121429744,0.0018826397957127483
10000,0.12377112203714401,0.029447406608570807,0.04555788468999708,0.04685581754285652,0.09481857514000565,0.0037866312400001334
50000,1.7999486787928565,0.5645026404242877,0.6387065611471462,0.8271619101485703,0.8840254569271409,0.01954974451857457
