,Naive,Default,MD5,SHA256,Jenkins,Red Black Tree
10,2.0116684286871797e-05,1.667115715723152e-05,3.2665025729719285e-05,3.424550714303873e-05,6.943518857172291e-05,3.76233399479783e-05
100,0.0001904786271396,0.0001207468157164,0.0002363608899967,0.0002538182771448,0.0005723407699926,0.00036371589430408285
250,0.0004703726714381,0.000324478628567,0.000591417769995,0.0006270368914348,0.0014370967085622,0.001012005660034317
500,0.0008869979414261,0.0005364277142715,0.0011881232157195,0.0012464244328501,0.0028969049814414,0.0021317573914088174
1000,0.0018786796485697,0.0010193978699888,0.002401296992861,0.0024886526699992,0.0058224536285706,0.004640755162857074
2500,0.0045208831942935,0.0023435585485588,0.0059174352314481,0.0062217889643008,0.014848172057131,0.012229183552803339
5000,0.0091218354714406,0.0046182952614409,0.0117894895400032,0.0123139146971412,0.0298441281100219,0.034278381474307805
10000,0.0184404713300006,0.0093162739228448,0.0236788063742902,0.0246655569357036,0.0597759188414264,0.06406615303426016
50000,0.102915911051428,0.0468929282057173,0.1223295594542703,0.1243821852128374,0.3041349269628595,0.3736167533585519
