,Naive,Default,MD5,SHA256,Jenkins
10,0.0057966848785456805,0.0050712524514113155,0.007113487552893015,0.008524577322865037,0.010922930224291381
50,0.0037149440042724435,0.002061412790000239,0.0043504767958074805,0.003880901064299646,0.0074487100070941125
250,0.0037357654500270398,0.00150295856138525,0.0036420573442592285,0.0033596771229557425,0.006764550052799417
500,0.004758045677237013,0.0017665782128460706,0.0031559778200296153,0.003710278665779957,0.007235391481372062
1000,0.004013801945755923,0.00137306898861425,0.003013084827190531,0.0031585115100772653,0.007075444214361986
2000,0.0036834139457537925,0.0016271418785826037,0.0038368245343112254,0.003189127365725913,0.0065188994471515925
5000,0.0033822145314687598,0.0013533018271222577,0.002850134574275996,0.00334758828286015,0.006446117098509733
15000,0.003291031479976872,0.0013813892557352249,0.00372162943577028,0.003203230414281799,0.006390726178610098
25000,0.003318975675751322,0.0013400409228467782,0.0030844634400065325,0.003508736727235373,0.006457272047077173
100000,0.0036799496043490114,0.0017539830415210288,0.0032276797999760934,0.0033461729514861612,0.006527435611476124
